District,City,Latitude,Longitude,Price,PriceMillionPerM2,Size,LandType,Width,Length,Legalty,Ward
493,48,16.070292,108.24665,7990000000,90.795456,88.0,1,,,1.0,20275
725,74,10.869431,106.71364,4300000000,30.06993,143.0,1,7.0,20.5,1.0,25990
276,1,20.990559,105.567955,2110000000,31.492537,67.0,1,5.5998,12.06,1.0,10012
703,72,11.4103,106.1099,850000000,3.9534883,215.0,1,6.0,35.0,1.0,25474
725,74,10.872017,106.70895,4300000000,30.06993,143.0,1,7.0,20.5,1.0,25990
507,49,15.92483,108.30226,1700000000,18.085106,94.0,1,5.5,17.0,1.0,20581
918,92,10.058003,105.76153,1400000000,21.212122,66.0,1,4.0,16.7999,1.0,31177
17,1,21.179623,105.83784,6144000000,55.004524,111.6999,1,6.5,17.0,1.0,466
777,79,10.744604,106.611336,16800000000,84.0,200.0,1,10.0,20.0,2.0,27451
785,79,10.687157,106.55988,1050000000,12.962963,81.0,1,5.0,16.0,1.0,27595
719,74,11.356915,106.61145,1900000000,7.9166665,240.0,1,10.0,24.0,1.0,25816
808,80,10.490912,106.48182,1900000000,2.1257555,893.7999,1,,,1.0,28219
783,79,11.004886,106.58931,1600000000,9.756098,164.0,1,5.0,33.0,1.0,27523
761,79,10.8427,106.694,4400000000,68.75,64.0,1,4.0,16.0,1.0,26779
721,74,11.1032,106.62384,1600000000,10.666667,150.0,1,5.0,30.0,1.0,25846
783,79,10.945987,106.51277,580000000,2.0350878,285.0,1,6.0,47.0,1.0,27556
783,79,10.9827,106.6179,2300000000,17.96875,128.0,1,5.0,26.0,1.0,27544
4,1,21.062166,105.91639,4950000000,93.396225,53.0,1,,,1.0,121
783,79,10.9704485,106.59982,1650000000,18.333334,90.0,1,6.0,15.0,1.0,27547
807,80,10.63225,106.65757,2250000000,28.125,80.0,1,5.0,16.0,1.0,28165
806,80,10.597915,106.5883,1780000000,12.714286,140.0,1,7.0,20.0,1.0,28111
719,74,11.260122,106.63697,820000000,6.6666665,123.0,1,5.0,24.0,1.0,25822
934,93,9.855791,105.629524,1500000000,3.9682539,378.0,1,9.0,42.0,1.0,31399
764,79,10.815422,106.679726,7900000000,112.85714,70.0,1,,,1.0,26902
735,75,10.988869,106.79994,15000000000,10.0,1500.0,1,40.0,37.0,1.0,26197
601,60,10.822916,107.724754,28000000000,1.0,28000.0,1,,,1.0,23236
8,1,20.98376,105.841,12500000000,156.25,80.0,1,5.6999,15.0,1.0,331
731,75,10.925898,106.80602,2100000000,31.818182,66.0,1,5.9,11.5,1.0,26053
785,79,10.715549,106.55251,550000000,5.5,100.0,4,5.0,20.0,1.0,27613
276,1,20.990559,105.567955,3154000000,38.0,83.0,1,4.15,20.19,1.0,10012
673,68,11.4608,107.727,8500000000,7.0833335,1200.0,3,,,1.0,24844
783,79,10.92257,106.60727,1680000000,11.2,150.0,1,,,1.0,27550
731,75,10.8895,106.8973,1550000000,15.5,100.0,2,5.0,20.0,1.0,26377
724,74,10.89439,106.77322,9000000000,50.5618,178.0,1,10.0,18.0,1.0,25957
724,74,10.917414,106.76861,3100000000,37.80488,82.0,1,4.0,21.0,1.0,25948
783,79,11.020317,106.5643,1200000000,11.428572,105.0,1,,,1.0,27517
725,74,10.872017,106.70895,3250000000,22.727272,143.0,1,7.0,20.5,1.0,25990
916,92,10.0138,105.7509,2290000000,31.805555,72.0,1,4.0,18.0,1.0,31150
17,1,21.158298,105.78793,2050000000,51.25,40.0,1,3.88,11.0,1.0,469
698,70,11.735233,106.80604,200000000,1.0,200.0,1,5.0,40.0,1.0,25255
784,79,10.872022,106.61537,2700000000,24.545454,110.0,1,5.0,22.0,1.0,27574
17,1,21.153822,105.8349,2520000000,63.0,40.0,1,4.6999,8.5,2.0,472
274,1,21.018919,105.68851,2200000000,41.275875,53.2999,1,3.42,16.0499,3.0,9835
926,92,9.998873,105.66826,1390000000,21.71875,64.0,1,4.0,16.0,1.0,31299
721,74,11.112711,106.670395,1250000000,16.666666,75.0,1,5.0,15.0,2.0,25849
783,79,10.92257,106.60727,1900000000,12.5,152.0,1,5.0,,1.0,27550
762,79,10.84255,106.72704,7200000000,101.694916,70.8,1,4.5,16.0,1.0,26812
784,79,10.903649,106.59394,3000000000,30.30303,99.0,1,5.5,18.0,1.0,27562
802,80,10.870725,106.50538,1200000000,14.117647,85.0,1,5.0,17.0,1.0,27976
718,74,10.989114,106.671326,7499999999,24.038462,312.0,1,10.3999,30.0,1.0,25744
724,74,10.899704,106.76286,17000000000,56.666668,300.0,1,10.0,30.0,1.0,25942
712,72,11.015406,106.408615,320000000,1.7777778,180.0,1,6.0,30.0,1.0,25732
769,79,10.8097,106.861,2400000000,30.456852,78.8,1,6.4,12.3,1.0,26857
